"Time (s)","X (hPa)"
3.985292090E2,1.007623749E3
3.995932070E2,1.007648163E3
4.006571690E2,1.007672577E3
4.017211070E2,1.007696075E3
4.027850660E2,1.007719269E3
4.038490590E2,1.007742386E3
4.049130540E2,1.007764740E3
4.059770030E2,1.007786179E3
4.070409850E2,1.007807922E3
4.081049530E2,1.007828903E3
4.091688970E2,1.007849426E3
4.102328950E2,1.007869949E3
4.112968280E2,1.007890167E3
4.123608200E2,1.007909622E3
4.134248060E2,1.007928696E3
4.144887730E2,1.007947311E3
4.155527430E2,1.007965546E3
4.166167060E2,1.007983322E3
4.176806800E2,1.007999954E3
4.187446240E2,1.008016968E3
4.198085510E2,1.008032990E3
4.208725060E2,1.008048935E3
4.219364300E2,1.008064270E3
4.230003890E2,1.008079453E3
4.240643600E2,1.008093796E3
4.251283150E2,1.008107529E3
4.261922640E2,1.008121185E3
4.272562170E2,1.008134003E3
4.283201950E2,1.008146362E3
4.293841840E2,1.008158264E3
4.304481840E2,1.008169937E3
4.315121520E2,1.008181152E3
4.325761290E2,1.008191910E3
4.336400740E2,1.008201599E3
4.347040430E2,1.008211517E3
4.357680280E2,1.008220291E3
4.368320200E2,1.008228760E3
4.378960300E2,1.008236313E3
4.389600250E2,1.008241577E3
4.400240140E2,1.008248138E3
